email;nombre;estado;ultimopago;fecha;ciclo
Alonso.Valladares@bbdduc.utopia;NotRappido;Vigente;12000;12-02-24;mensual
Macarena.Martinez@bbdduc.utopia;ATuCasa;Vigente;22116;26-04-24;mensual
Alejandro.Vicencio@bbdduc.utopia;ComidaAhora;cancelada;15960;05-03-24;mensual
Macarena.Saldana@bbdduc.utopia;DCCRappi;Vigente;12000;06-04-24;mensual
Andres.Barrera@bbdduc.utopia;Speed;cancelada;22116;12-03-24;mensual
Elena.Morales@bbdduc.utopia;FoodBasics;cancelada;5400;15-04-23;mensual
Elena.Cintolesi@bbdduc.utopia;Speed;Vigente;174389;06-01-23;anual
Andrea.Videla@bbdduc.utopia;Balloon;Vigente;12000;16-04-24;mensual
Javier.Madrid@bbdduc.utopia;PedidosNow;cancelada;7812;15-02-23;mensual
Ignacia.Rio@bbdduc.utopia;NotRappido;cancelada;10320;20-03-24;mensual
Humberto.Hormann@bbdduc.utopia;ATuCasa;Vigente;4576;02-03-24;mensual
Esteban.Marshall@bbdduc.utopia;ATuCasa;Vigente;188179;20-04-23;anual
Eduardo.Vilches@bbdduc.utopia;PedidosNow;Vigente;12000;17-04-23;mensual
Nicolas.Zambrano@bbdduc.utopia;FoodBasics;Vigente;153216;24-02-23;anual
Renasco.Quezada@bbdduc.utopia;UbreFoods;cancelada;10320;03-03-23;mensual
Alonso.Zanni@bbdduc.utopia;PedidosNow;Vigente;15960;04-01-24;mensual
Nicolas.Munoz@bbdduc.utopia;DCCRappi;cancelada;2088;24-04-24;mensual
Florencia.Torres@bbdduc.utopia;FoodBasics;Vigente;19200;12-04-24;mensual
Ignacio.Conejeros@bbdduc.utopia;UbreFoods;cancelada;12830;23-02-23;anual
Javier.Arias@bbdduc.utopia;SlowDelivery;cancelada;188179;05-02-23;anual
Domingo.Carvajal@bbdduc.utopia;ATuCasa;cancelada;100310;17-03-23;anual
Andrea.Videla@bbdduc.utopia;FastDelivery;cancelada;16704;09-01-23;mensual
Eduardo.Gonzalez@bbdduc.utopia;DCComida;cancelada;12000;13-03-24;mensual
Andres.Saavedra@bbdduc.utopia;ComidaAhora;cancelada;214967;20-02-23;anual
Alejandro.Vicencio@bbdduc.utopia;UbreFoods;cancelada;167961;29-01-24;anual
Ignacio.Gonzalez@bbdduc.utopia;Balloon;cancelada;153216;05-02-23;anual
Elena.Cintolesi@bbdduc.utopia;DCComida;Vigente;2088;18-03-24;mensual
Jose.Castelblanco@bbdduc.utopia;DCComida;cancelada;10320;27-02-24;mensual
Andrea.Guevara@bbdduc.utopia;FoodNow;cancelada;12000;09-04-24;mensual
Sofia.Tapia@bbdduc.utopia;DidiEats;Vigente;7812;14-04-24;mensual
Abel.Gandolfi@bbdduc.utopia;FoodBasics;Vigente;16704;07-04-23;mensual
Enrique.Mingo@bbdduc.utopia;DCCRappi;Vigente;16200;16-01-24;mensual
Andres.Cortes@bbdduc.utopia;FoodNow;Vigente;55728;07-02-23;anual
Humberto.Gomez@bbdduc.utopia;ATuCasa;cancelada;16200;17-03-23;mensual
Jesus.Bahamonde@bbdduc.utopia;DidiEats;cancelada;19200;17-04-24;mensual
Paz.Egnem@bbdduc.utopia;ComidaAhora;cancelada;24805;27-02-23;anual
Angeles.Castro@bbdduc.utopia;Balloon;cancelada;214967;13-02-23;anual
Rovira.Gonzalez@bbdduc.utopia;Balloon;cancelada;16704;15-01-24;mensual
Andres.Sanchez@bbdduc.utopia;Balloon;cancelada;155520;12-02-23;anual
Andres.Mendez@bbdduc.utopia;DCComida;cancelada;15960;01-04-23;mensual
Macarena.Martinez@bbdduc.utopia;DidiEats;Vigente;153216;24-02-24;anual
Robinson.Hermosilla@bbdduc.utopia;FoodBasics;cancelada;51617;16-04-23;anual
Pedro.Correa@bbdduc.utopia;DCCRappi;Vigente;22116;29-02-24;mensual
Esteban.Marshall@bbdduc.utopia;PedidosNow;Vigente;114307;01-05-23;anual
Ignacia.Rolando@bbdduc.utopia;PedidosNow;Vigente;2088;29-04-23;mensual
Enrique.Costa@bbdduc.utopia;Speed;cancelada;188179;09-01-24;anual
Andres.Balzan@bbdduc.utopia;FoodNow;Vigente;19200;26-03-24;mensual
Rovira.Gonzalez@bbdduc.utopia;Speed;cancelada;2088;08-02-23;mensual
Jose.Castelblanco@bbdduc.utopia;DCCRappi;Vigente;214967;05-03-23;anual
Javier.Arias@bbdduc.utopia;Balloon;cancelada;214967;25-04-24;anual
Javier.Arias@bbdduc.utopia;FoodNow;cancelada;153216;14-04-23;anual
Elena.Alarcon@bbdduc.utopia;DidiEats;cancelada;78744;01-03-23;anual
Alonso.Valladares@bbdduc.utopia;ATuCasa;Vigente;133920;01-05-23;anual
Agustin.Reyes@bbdduc.utopia;FastDelivery;Vigente;16704;27-01-24;mensual
Andres.Meza@bbdduc.utopia;DCCRappi;Vigente;12000;25-02-24;mensual
Enrique.Mingo@bbdduc.utopia;FoodNow;cancelada;7812;15-01-23;mensual
Jesus.Bahamonde@bbdduc.utopia;DCCRappi;cancelada;188179;27-02-23;anual
Antonio.Larrain@bbdduc.utopia;EsquinaShop;cancelada;17280;20-02-24;mensual
Jesus.Valera@bbdduc.utopia;DCComida;Vigente;155520;17-01-23;anual
Nicolas.Crisosto@bbdduc.utopia;UbreFoods;cancelada;114307;24-02-24;anual
Alonso.Zanni@bbdduc.utopia;Speed;cancelada;5400;18-02-24;mensual
Agustin.Matte@bbdduc.utopia;PedidosNow;cancelada;174389;15-03-23;anual
Domingo.Carvajal@bbdduc.utopia;EsquinaShop;Vigente;133920;02-01-23;anual
Santiago.Garcia@bbdduc.utopia;Balloon;cancelada;174389;29-01-23;anual
Ignacia.Rio@bbdduc.utopia;SlowDelivery;cancelada;17820;23-01-24;mensual
Antonio.Ponce@bbdduc.utopia;Balloon;Vigente;12000;11-03-23;mensual
Andres.Barrera@bbdduc.utopia;FastDelivery;cancelada;9720;11-02-23;mensual
Gabriel.Moraga@bbdduc.utopia;EsquinaShop;Vigente;153216;05-02-24;anual
Andres.Meza@bbdduc.utopia;Speed;Vigente;214967;25-01-24;anual
Andrea.Guevara@bbdduc.utopia;DCCRappi;cancelada;155520;04-02-23;anual
Andres.Sanchez@bbdduc.utopia;DidiEats;cancelada;17820;02-03-23;mensual
Ignacia.Ruiz@bbdduc.utopia;EsquinaShop;Vigente;2088;02-04-23;mensual
Macarena.Martinez@bbdduc.utopia;Balloon;cancelada;214967;15-03-24;anual
Andres.Cortes@bbdduc.utopia;SlowDelivery;Vigente;2088;30-04-24;mensual
Ozzy.Baldini@bbdduc.utopia;Speed;Vigente;19200;18-04-24;mensual
Eduardo.Palacios@bbdduc.utopia;EsquinaShop;Vigente;153216;11-02-23;anual
Florencia.Torres@bbdduc.utopia;FoodNow;Vigente;10320;22-02-24;mensual
Humberto.Hormann@bbdduc.utopia;Balloon;Vigente;133920;14-04-23;anual
Antonio.Ponce@bbdduc.utopia;ATuCasa;Vigente;167961;24-03-24;anual
Rovira.Gonzalez@bbdduc.utopia;DidiEats;Vigente;174389;27-04-23;anual
Jose.Castelblanco@bbdduc.utopia;ComidaAhora;Vigente;5400;20-03-24;mensual
Pedro.Correa@bbdduc.utopia;FoodBasics;cancelada;133920;16-04-23;anual
Nicolas.Ayala@bbdduc.utopia;DidiEats;Vigente;193536;15-04-23;anual
Andres.Balzan@bbdduc.utopia;ComidaAhora;Vigente;1080;26-03-23;mensual
Andres.Ruiz@bbdduc.utopia;DidiEats;cancelada;15960;08-02-23;mensual
Andres.Saavedra@bbdduc.utopia;Speed;Vigente;55728;17-03-23;anual
Agustin.Reyes@bbdduc.utopia;DidiEats;cancelada;19200;20-01-24;mensual
Nicolas.Zambrano@bbdduc.utopia;UbreFoods;Vigente;4576;10-01-23;mensual
Sofia.Tapia@bbdduc.utopia;Balloon;cancelada;12830;27-01-23;anual
Eduardo.Osorio@bbdduc.utopia;FoodNow;cancelada;133920;03-02-24;anual
Andres.Ruiz@bbdduc.utopia;ATuCasa;cancelada;2088;08-02-24;mensual
Elena.Morales@bbdduc.utopia;SlowDelivery;cancelada;10320;22-03-23;mensual
Nicolas.Zambrano@bbdduc.utopia;PedidosNow;Vigente;214967;26-04-24;anual
Yan.Zhong@bbdduc.utopia;FastDelivery;Vigente;16200;12-03-24;mensual
Andres.Mendez@bbdduc.utopia;Balloon;Vigente;4576;06-04-23;mensual
Javier.Arias@bbdduc.utopia;DidiEats;cancelada;17280;02-03-24;mensual
Paz.Pena@bbdduc.utopia;ComidaAhora;Vigente;16704;15-02-24;mensual
Antonio.Larrain@bbdduc.utopia;Speed;cancelada;193536;22-01-23;anual
Antonio.Ponce@bbdduc.utopia;DCCRappi;Vigente;12830;14-01-23;anual
Ignacia.Rolando@bbdduc.utopia;DCCRappi;Vigente;78744;28-02-23;anual
Agustin.Matte@bbdduc.utopia;FoodNow;Vigente;7812;25-04-24;mensual
Domingo.Carvajal@bbdduc.utopia;UbreFoods;Vigente;78744;16-01-23;anual
Florencia.Torres@bbdduc.utopia;EsquinaShop;cancelada;78744;20-01-24;anual
Jose.Castelblanco@bbdduc.utopia;FoodBasics;cancelada;12000;18-01-23;mensual
Antonio.Ponce@bbdduc.utopia;Balloon;cancelada;5400;11-02-24;mensual
Antonia.Contreras@bbdduc.utopia;NotRappido;Vigente;10320;09-02-24;mensual
Angeles.Monzon@bbdduc.utopia;DCCRappi;Vigente;155520;25-02-24;anual
Alejandro.Diaz@bbdduc.utopia;FoodBasics;Vigente;1080;30-03-23;mensual
Diaz.Barrera@bbdduc.utopia;FoodBasics;Vigente;10320;29-01-23;mensual
Esteban.Marshall@bbdduc.utopia;ComidaAhora;Vigente;167961;20-04-23;anual
Andrea.Videla@bbdduc.utopia;NotRappido;cancelada;7812;15-03-24;mensual
Pablo.Montes@bbdduc.utopia;ComidaAhora;cancelada;133920;17-04-24;anual
Nicolas.Plaza@bbdduc.utopia;SlowDelivery;cancelada;133920;02-04-24;anual
Andres.Montt@bbdduc.utopia;NotRappido;Vigente;5400;10-04-24;mensual
Macarena.Martinez@bbdduc.utopia;PedidosNow;cancelada;78744;26-02-23;anual
Enrique.Mingo@bbdduc.utopia;Balloon;cancelada;4576;01-01-23;mensual
Andres.Barrera@bbdduc.utopia;DCComida;cancelada;22116;12-04-24;mensual
Alonso.Zanni@bbdduc.utopia;FastDelivery;cancelada;167961;10-02-24;anual
Enrique.Mingo@bbdduc.utopia;DCComida;cancelada;214967;28-01-24;anual
Jesus.Estremadoyro@bbdduc.utopia;FastDelivery;Vigente;4576;28-04-23;mensual
Bruno.Rico@bbdduc.utopia;EsquinaShop;Vigente;114307;31-01-24;anual
Humberto.Gomez@bbdduc.utopia;FoodNow;cancelada;22116;08-04-24;mensual
Alejandro.Vicencio@bbdduc.utopia;UbreFoods;Vigente;55728;03-03-24;anual
Paz.Pena@bbdduc.utopia;DCCRappi;cancelada;55728;20-02-24;anual
Eduardo.Gonzalez@bbdduc.utopia;PedidosNow;cancelada;17820;23-03-24;mensual
Humberto.Gomez@bbdduc.utopia;SlowDelivery;cancelada;24805;13-03-24;anual
Alejandro.Sierra@bbdduc.utopia;FoodBasics;cancelada;1080;22-03-24;mensual
Andres.Barrera@bbdduc.utopia;DidiEats;Vigente;214967;16-02-23;anual
Paz.Egnem@bbdduc.utopia;ComidaAhora;Vigente;78744;15-02-24;anual
Enrique.Mingo@bbdduc.utopia;UbreFoods;Vigente;167961;06-01-24;anual
Alejandro.Diaz@bbdduc.utopia;FastDelivery;Vigente;193536;31-03-24;anual
Javier.Madrid@bbdduc.utopia;ATuCasa;Vigente;10320;21-01-23;mensual
Ignacio.Conejeros@bbdduc.utopia;Speed;cancelada;214967;23-04-23;anual
Andres.Saavedra@bbdduc.utopia;FoodBasics;cancelada;188179;26-04-23;anual
Yerhov.Silberberg@bbdduc.utopia;FoodNow;cancelada;24805;29-04-23;anual
Andres.Barrera@bbdduc.utopia;Balloon;cancelada;16704;30-03-24;mensual
Paz.Pena@bbdduc.utopia;ATuCasa;Vigente;9720;24-04-24;mensual
Alejandro.Daroca@bbdduc.utopia;FoodBasics;Vigente;22116;22-02-24;mensual
Andrea.Videla@bbdduc.utopia;FoodNow;Vigente;167961;17-03-23;anual
Nicolas.Ayala@bbdduc.utopia;DidiEats;cancelada;17280;26-01-23;mensual
Alejandro.Sierra@bbdduc.utopia;UbreFoods;Vigente;24805;02-02-24;anual
Eduardo.Behrens@bbdduc.utopia;ATuCasa;cancelada;188179;25-04-24;anual
Agustin.Reyes@bbdduc.utopia;SlowDelivery;Vigente;19200;21-02-24;mensual
Paz.Egnem@bbdduc.utopia;UbreFoods;cancelada;100310;11-01-24;anual
Alejandro.Benitez@bbdduc.utopia;FoodBasics;cancelada;7812;10-04-24;mensual
Ignacia.Oyarzun@bbdduc.utopia;DCComida;Vigente;17280;18-03-23;mensual
Jesus.Ramirez@bbdduc.utopia;FastDelivery;cancelada;188179;15-04-24;anual
Ignacio.Gonzalez@bbdduc.utopia;SlowDelivery;cancelada;214967;10-01-23;anual
Ozzy.Baldini@bbdduc.utopia;UbreFoods;cancelada;167961;06-04-24;anual
Macarena.Lungenstrass@bbdduc.utopia;DidiEats;cancelada;78744;03-03-23;anual
Andres.Montt@bbdduc.utopia;DidiEats;cancelada;133920;02-02-23;anual
Alonso.Zanni@bbdduc.utopia;DidiEats;Vigente;4576;16-02-24;mensual
Pedro.Correa@bbdduc.utopia;ATuCasa;Vigente;174389;23-04-23;anual
Jesus.Bahamonde@bbdduc.utopia;NotRappido;cancelada;24805;02-03-24;anual
Andres.Ramirez@bbdduc.utopia;DCComida;Vigente;5400;14-01-24;mensual
Yerhov.Silberberg@bbdduc.utopia;Speed;cancelada;100310;01-03-23;anual
Antonio.Rivera@bbdduc.utopia;ComidaAhora;cancelada;12830;13-02-24;anual
Yerhov.Silberberg@bbdduc.utopia;PedidosNow;cancelada;15960;24-04-23;mensual
Andres.Saavedra@bbdduc.utopia;FoodNow;Vigente;17820;03-03-23;mensual
Eduardo.Osorio@bbdduc.utopia;EsquinaShop;cancelada;12830;16-04-24;anual
Enrique.Costa@bbdduc.utopia;FastDelivery;cancelada;1080;01-02-23;mensual
Humberto.Hormann@bbdduc.utopia;DCCRappi;cancelada;10320;20-02-24;mensual
Jesus.Ramirez@bbdduc.utopia;DCCRappi;Vigente;7812;12-03-24;mensual
Humberto.Hormann@bbdduc.utopia;ATuCasa;cancelada;19200;27-02-24;mensual
Andres.Barrera@bbdduc.utopia;ComidaAhora;cancelada;24805;05-04-23;anual
Elena.Morales@bbdduc.utopia;DidiEats;Vigente;51617;12-01-24;anual
Alfredo.Catalan@bbdduc.utopia;SlowDelivery;Vigente;5400;20-01-24;mensual
Javier.Arias@bbdduc.utopia;FoodNow;Vigente;214967;06-03-24;anual
Andres.Gallardo@bbdduc.utopia;SlowDelivery;Vigente;78744;24-04-24;anual
Abel.Gandolfi@bbdduc.utopia;ComidaAhora;cancelada;174389;03-04-23;anual
Ignacia.Greene@bbdduc.utopia;FastDelivery;Vigente;1080;30-04-23;mensual
Javier.Arias@bbdduc.utopia;Balloon;Vigente;114307;08-01-24;anual
Nicolas.Ayala@bbdduc.utopia;Speed;Vigente;5400;11-04-24;mensual
Elena.Cintolesi@bbdduc.utopia;FoodNow;Vigente;2088;18-01-24;mensual
Segundo.Collinao@bbdduc.utopia;SlowDelivery;Vigente;17280;07-04-24;mensual
Antonio.Rivera@bbdduc.utopia;Speed;cancelada;193536;07-01-24;anual
Eduardo.Cortez@bbdduc.utopia;DCCRappi;cancelada;17280;24-04-24;mensual
Bruno.Rico@bbdduc.utopia;Speed;Vigente;4576;21-01-24;mensual
Nicolas.Plaza@bbdduc.utopia;NotRappido;cancelada;16200;16-04-23;mensual
Andres.Meza@bbdduc.utopia;FoodNow;cancelada;17820;13-04-23;mensual
Ignacio.Mellado@bbdduc.utopia;Speed;cancelada;174389;24-02-23;anual
Humberto.Hormann@bbdduc.utopia;PedidosNow;Vigente;12000;04-03-23;mensual
Andres.Mendez@bbdduc.utopia;Balloon;cancelada;22116;05-01-23;mensual
Pedro.Correa@bbdduc.utopia;EsquinaShop;Vigente;22116;17-04-24;mensual
Antonio.Larrain@bbdduc.utopia;DCComida;cancelada;16704;20-01-23;mensual
Andres.Barrera@bbdduc.utopia;UbreFoods;Vigente;19200;29-01-23;mensual
Enrique.Reyes@bbdduc.utopia;Speed;Vigente;4576;09-03-24;mensual
francisca.ancic@uc.cl;ATuCasa;Vigente;114307;12-03-24;anual
Rovira.Gonzalez@bbdduc.utopia;FoodBasics;cancelada;78744;24-04-24;anual
Alejandro.Vicencio@bbdduc.utopia;EsquinaShop;Vigente;78744;20-02-23;anual
francisca.ancic@uc.cl;DCCRappi;cancelada;188179;20-03-23;anual
Florencia.Torres@bbdduc.utopia;EsquinaShop;cancelada;10320;24-02-24;mensual
Nicolas.Crisosto@bbdduc.utopia;NotRappido;Vigente;5400;26-02-24;mensual
francisca.ancic@uc.cl;FoodBasics;cancelada;19200;02-04-24;mensual
Andres.Reinhardt@bbdduc.utopia;ATuCasa;cancelada;12000;03-04-23;mensual
Jesus.Ramirez@bbdduc.utopia;Speed;Vigente;188179;12-02-23;anual
Andres.Saavedra@bbdduc.utopia;FoodNow;cancelada;188179;25-03-23;anual
Macarena.Lungenstrass@bbdduc.utopia;DCComida;cancelada;12000;31-03-24;mensual
Ignacia.Oyarzun@bbdduc.utopia;DCComida;cancelada;10320;22-04-23;mensual
Macarena.Saldana@bbdduc.utopia;DCCRappi;Vigente;12000;04-01-24;mensual
Humberto.Hormann@bbdduc.utopia;PedidosNow;cancelada;16200;13-04-23;mensual
Robinson.Hermosilla@bbdduc.utopia;FoodBasics;Vigente;193536;18-01-23;anual
Angeles.Monzon@bbdduc.utopia;FoodBasics;Vigente;16704;16-04-23;mensual
Pablo.Muse@bbdduc.utopia;UbreFoods;cancelada;16704;16-01-23;mensual
Alonso.Zanni@bbdduc.utopia;FoodNow;Vigente;167961;30-04-24;anual
Nicolas.Plaza@bbdduc.utopia;DCCRappi;cancelada;12830;16-02-23;anual
Eduardo.Gonzalez@bbdduc.utopia;DidiEats;cancelada;100310;05-02-23;anual
Ignacio.Mellado@bbdduc.utopia;NotRappido;Vigente;22116;09-01-23;mensual
Enrique.Mingo@bbdduc.utopia;FoodNow;cancelada;155520;12-02-23;anual
Nicolas.Ayala@bbdduc.utopia;ComidaAhora;cancelada;193536;16-01-23;anual
Macarena.Lungenstrass@bbdduc.utopia;UbreFoods;Vigente;16704;29-04-24;mensual
Elena.Alarcon@bbdduc.utopia;ATuCasa;Vigente;15960;14-01-23;mensual
Diaz.Barrera@bbdduc.utopia;FoodNow;cancelada;7812;22-02-24;mensual
Jesus.Bahamonde@bbdduc.utopia;PedidosNow;Vigente;12000;28-01-24;mensual
Paz.Egnem@bbdduc.utopia;DCComida;cancelada;15960;24-04-24;mensual
Pablo.Montes@bbdduc.utopia;Speed;Vigente;12830;02-03-24;anual
Andres.Sanchez@bbdduc.utopia;FastDelivery;cancelada;167961;20-02-23;anual
Sayen.Reyes@bbdduc.utopia;FoodNow;cancelada;155520;15-02-24;anual
Pablo.Muse@bbdduc.utopia;Speed;cancelada;55728;01-05-23;anual
Pablo.Montes@bbdduc.utopia;EsquinaShop;cancelada;15960;18-01-24;mensual
Ignacia.Rio@bbdduc.utopia;EsquinaShop;cancelada;214967;26-04-24;anual
Jesus.Ramirez@bbdduc.utopia;FastDelivery;cancelada;19200;29-02-24;mensual
Diego.Fernandez@bbdduc.utopia;FoodBasics;cancelada;16200;16-02-23;mensual
Yerhov.Silberberg@bbdduc.utopia;SlowDelivery;Vigente;174389;08-04-24;anual
Eduardo.Osorio@bbdduc.utopia;DCCRappi;cancelada;22116;29-04-23;mensual
Humberto.Hormann@bbdduc.utopia;FastDelivery;Vigente;24805;08-01-24;anual
Alfredo.Catalan@bbdduc.utopia;ComidaAhora;cancelada;22116;20-03-23;mensual
Andres.Benavides@bbdduc.utopia;DCCRappi;Vigente;114307;20-03-23;anual
Gabriel.Moraga@bbdduc.utopia;NotRappido;Vigente;174389;26-04-23;anual
Andres.Sanchez@bbdduc.utopia;NotRappido;cancelada;167961;08-02-24;anual
Alejandro.Daroca@bbdduc.utopia;DCComida;Vigente;51617;21-01-24;anual
Ignacia.Rio@bbdduc.utopia;SlowDelivery;Vigente;78744;23-04-23;anual
Enrique.Mingo@bbdduc.utopia;Balloon;cancelada;16704;20-04-23;mensual
Eduardo.Osorio@bbdduc.utopia;ATuCasa;Vigente;22116;06-03-23;mensual
Andres.Meza@bbdduc.utopia;Balloon;cancelada;9720;17-04-24;mensual
Alejandro.Sierra@bbdduc.utopia;FastDelivery;Vigente;133920;06-01-23;anual
Sofia.Tapia@bbdduc.utopia;Speed;Vigente;7812;29-04-24;mensual
Jose.Castelblanco@bbdduc.utopia;FastDelivery;Vigente;51617;14-02-23;anual
Diaz.Barrera@bbdduc.utopia;NotRappido;Vigente;188179;10-02-24;anual
Ignacio.Gonzalez@bbdduc.utopia;ComidaAhora;cancelada;153216;05-02-24;anual
Sofia.Tapia@bbdduc.utopia;Speed;Vigente;188179;11-03-23;anual
Jose.Dauber@bbdduc.utopia;ATuCasa;Vigente;19200;03-03-23;mensual
Pedro.Correa@bbdduc.utopia;Speed;cancelada;133920;08-01-23;anual
Domingo.Carvajal@bbdduc.utopia;FastDelivery;Vigente;19200;29-04-24;mensual
Yan.Zhong@bbdduc.utopia;ComidaAhora;Vigente;193536;06-01-23;anual
Nicolas.Munoz@bbdduc.utopia;FoodNow;cancelada;5400;20-02-24;mensual
Macarena.Saldana@bbdduc.utopia;Balloon;cancelada;17280;26-02-23;mensual
Sofia.Tapia@bbdduc.utopia;Speed;Vigente;1080;08-02-24;mensual
Nicolas.Zambrano@bbdduc.utopia;Balloon;cancelada;153216;20-02-23;anual
Macarena.Saldana@bbdduc.utopia;DidiEats;Vigente;51617;21-02-23;anual
Ignacio.Arias@bbdduc.utopia;UbreFoods;Vigente;12830;16-01-24;anual
Elena.Alarcon@bbdduc.utopia;FoodNow;Vigente;24805;06-02-24;anual
Andres.Saavedra@bbdduc.utopia;SlowDelivery;Vigente;12000;04-01-24;mensual
Enrique.Costa@bbdduc.utopia;UbreFoods;Vigente;4576;06-03-23;mensual
Elias.Santibanez@bbdduc.utopia;FastDelivery;cancelada;100310;13-03-23;anual
Ignacia.Oyarzun@bbdduc.utopia;SlowDelivery;Vigente;2088;31-01-23;mensual
Antonella.Roncagliolo@bbdduc.utopia;FoodBasics;Vigente;214967;08-03-24;anual
Domingo.Carvajal@bbdduc.utopia;DCComida;Vigente;155520;07-04-23;anual
Enrique.Reyes@bbdduc.utopia;DidiEats;cancelada;12000;02-01-23;mensual
Sayen.Reyes@bbdduc.utopia;NotRappido;cancelada;214967;01-01-24;anual
Andres.Barrera@bbdduc.utopia;FoodNow;Vigente;4576;03-02-24;mensual
Diego.Fernandez@bbdduc.utopia;FoodBasics;cancelada;167961;08-02-23;anual
Enrique.Costa@bbdduc.utopia;ATuCasa;cancelada;2088;23-02-23;mensual
Jesus.Bahamonde@bbdduc.utopia;PedidosNow;cancelada;78744;17-02-23;anual
Nicolas.Ayala@bbdduc.utopia;SlowDelivery;Vigente;167961;02-02-23;anual
Andres.Balzan@bbdduc.utopia;DidiEats;cancelada;10320;10-03-24;mensual
Macarena.Galleguillos@bbdduc.utopia;Speed;cancelada;1080;16-04-24;mensual
Ignacia.Rolando@bbdduc.utopia;ComidaAhora;Vigente;1080;14-01-24;mensual
Andres.Benavides@bbdduc.utopia;FoodBasics;cancelada;24805;28-02-23;anual
Alejandro.Diaz@bbdduc.utopia;ATuCasa;cancelada;10320;13-04-24;mensual
Esteban.Marshall@bbdduc.utopia;SlowDelivery;Vigente;5400;05-01-24;mensual
Andres.Ruiz@bbdduc.utopia;FoodBasics;Vigente;19200;02-04-23;mensual
Andres.Sanchez@bbdduc.utopia;ComidaAhora;cancelada;16704;30-01-24;mensual
Ignacia.Rio@bbdduc.utopia;ATuCasa;cancelada;2088;27-02-23;mensual
Jesus.Valera@bbdduc.utopia;NotRappido;Vigente;153216;09-03-23;anual
francisca.ancic@uc.cl;FoodNow;Vigente;100310;20-02-23;anual
