clientenombre;clienteemail;clientetelefono;clienteclave;deliverynombre;deliveryvigente;deliverytelefono;deliverytiempo;deliverypreciounitario;deliverypreciomensual;deliveryprecioanual;despachadornombre;despachadortelefono
Ignacia Oyarzun;Ignacia.Oyarzun@bbdduc.utopia;56974715554;LUVWRWSK86;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Chloe Cooper;56787334517
Elena Alarcon;Elena.Alarcon@bbdduc.utopia;56913400258;FSVHRPAT95;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Chloe Cooper;56787334517
Alfredo Catalan;Alfredo.Catalan@bbdduc.utopia;56953813429;VLLDNFCW84;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;William Moore;56395625093
Elena Cintolesi;Elena.Cintolesi@bbdduc.utopia;56994912598;LCFPEUDJ61;Speed;TRUE;56953588069;5;5400;20952;233824;Aria Nelson;56486188086
Antonia Contreras;Antonia.Contreras@bbdduc.utopia;56992465219;GQNVGQQG71;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Layla Kelly;56853235735
Pedro Correa;Pedro.Correa@bbdduc.utopia;56970405475;OWVATYES35;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Daniel Lewis;56083598274
Andres Cortes;Andres.Cortes@bbdduc.utopia;56960848445;PDOXXLPX97;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Ryan Mitchell;56477780729
Ignacio Arias;Ignacio.Arias@bbdduc.utopia;56942112726;JZYGCPSN17;UbreFoods;FALSE;56933034573;30;300;1044;10022;Lucas Harris;56461444208
Andres Reinhardt;Andres.Reinhardt@bbdduc.utopia;56964549056;BJIWZQTW63;FastDelivery;TRUE;56929246270;80;1500;5340;62798;John Brooks;56380903764
Macarena Galleguillos;Macarena.Galleguillos@bbdduc.utopia;56971256145;LXPQGWTC28;FoodNow;TRUE;56992140878;10;2400;8832;95385;Riley Price;56719603806
Macarena Saldana;Macarena.Saldana@bbdduc.utopia;56992987026;KRRIIOSP80;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Camila Green;56038948627
Andres Benavides;Andres.Benavides@bbdduc.utopia;56990161158;OXSMRDNJ12;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Madison Evans;56916802977
Yan Zhung;Yan.Zhung@bbdduc.utopia;56979322678;ZCBBYWIL90;Balloon;FALSE;56936853345;20;4500;15120;150595;Connor Barnes;56442796447
Jose Castelblanco;Jose.Castelblanco@bbdduc.utopia;56959584691;GAXLWWAD31;UbreFoods;FALSE;56933034573;30;300;1044;10022;Thomas Bell;56681560752
Segundo Collinao;Segundo.Collinao@bbdduc.utopia;56939259756;ONPBOBAR98;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Eleanor Watson;56416187242
Macarena Lungenstrass;Macarena.Lungenstrass@bbdduc.utopia;56946043276;BASRVYEE88;DCComida;FALSE;56910970145;1;3600;11808;136028;Charles Butler;56355800161
Macarena Martinez;Macarena.Martinez@bbdduc.utopia;56920471929;BNTJIEYK56;PedidosNow;FALSE;56981144608;2;900;3060;32313;Juan Perez;56945687654
Andres Mendez;Andres.Mendez@bbdduc.utopia;56945479777;RJQIXKTP45;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Penelope Murphy;56921126580
Pablo Gonzalez;Pablo.Gonzalez@bbdduc.utopia;56933287960;SEOEKWGH27;Balloon;FALSE;56936853345;20;4500;15120;150595;Sebastian Wright;56962138308
Enrique Mingo;Enrique.Mingo@bbdduc.utopia;56975491767;DXASOBIP90;EsquinaShop;FALSE;56994692936;15;600;1992;19601;John Brooks;56380903764
Antonella Roncagliolo;Antonella.Roncagliolo@bbdduc.utopia;56919543513;LDFDVPCM10;NotRappido;TRUE;56968424843;60;3300;11352;133499;Michael Scott;56398144236
Pablo Montes;Pablo.Montes@bbdduc.utopia;56969486380;BEWIQTMP31;UbreFoods;FALSE;56933034573;30;300;1044;10022;Ryan Mitchell;56477780729
Agustin Reyes;Agustin.Reyes@bbdduc.utopia;56972317149;SFCGUHRR74;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Nova Russell;56571025589
Enrique Reyes;Enrique.Reyes@bbdduc.utopia;56992916965;TVIDOCBW91;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Sadie Price;56181483599
"Pablo O
Ryan";Pablo.ORyan@bbdduc.utopia;56942270623;HKUQYNXP23;DidiEats;FALSE;56987646285;40;2700;10152;116951;Asher Hughes;56907179581
Sayen Reyes;Sayen.Reyes@bbdduc.utopia;56979276556;HEEDUDUV45;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Hannah Cook;56432909031
Alejandro Diaz;Alejandro.Diaz@bbdduc.utopia;56911393679;QPQRASOG33;PedidosNow;FALSE;56981144608;2;900;3060;32313;Cristan Ronald;56035196028
Alejandro Benitez;Alejandro.Benitez@bbdduc.utopia;56948349144;NADGGMGN83;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Oliver Jones;56556256707
Pablo Muse;Pablo.Muse@bbdduc.utopia;56914065203;EPCCYMCA16;UbreFoods;FALSE;56933034573;30;300;1044;10022;Nicholas Lynch;56898159462
Alejandro Sierra;Alejandro.Sierra@bbdduc.utopia;56953951328;DQJGQVPX81;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Elena Murphy;56610316156
Eduardo Behrens;Eduardo.Behrens@bbdduc.utopia;56986067376;QMYGZHBX37;Balloon;FALSE;56936853345;20;4500;15120;150595;Sophia Wilson;56104007073
Ignacia Ruiz;Ignacia.Ruiz@bbdduc.utopia;56950030575;CCPAQWPN84;NotRappido;TRUE;56968424843;60;3300;11352;133499;Elijah Miller;56154971436
Gabriel Moraga;Gabriel.Moraga@bbdduc.utopia;56987323604;AHOSMSNT44;Balloon;FALSE;56936853345;20;4500;15120;150595;John Brooks;56380903764
Eduardo Osorio;Eduardo.Osorio@bbdduc.utopia;56929888277;BUNMEPQZ18;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Jose Coleman;56891052765
Nicolas Ayala;Nicolas.Ayala@bbdduc.utopia;56980151108;IXGVNCAN75;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Ava Davis;56543735721
Antonio Ponce;Antonio.Ponce@bbdduc.utopia;56954377391;COEMTSSM90;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Violet Powell;56228686904
Eduardo Palacios;Eduardo.Palacios@bbdduc.utopia;56934597282;SEBZYDBJ72;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Lincoln Bailey;56130041256
Jesus Ramirez;Jesus.Ramirez@bbdduc.utopia;56971637154;JXNQYATQ93;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Jackson Allen;56115361031
Andrea Videla;Andrea.Videla@bbdduc.utopia;56950618151;WVSVGUEE64;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Adrian Foster;56394761167
Eduardo Vilches;Eduardo.Vilches@bbdduc.utopia;56931609717;EYBSHXCC41;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Henry Thompson;56625137454
Domingo Carvajal;Domingo.Carvajal@bbdduc.utopia;56979003476;EFMMFQHK67;PedidosNow;FALSE;56981144608;2;900;3060;32313;Christian Bryant;56188951213
Alonso Zanni;Alonso.Zanni@bbdduc.utopia;56994570022;IEBVNYXI43;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Dominic Stevens;56024214343
Esteban Marshall;Esteban.Marshall@bbdduc.utopia;56955449517;CZCHIXXH79;NotRappido;TRUE;56968424843;60;3300;11352;133499;Juan Perez;56945687654
Sofia Tapia;Sofia.Tapia@bbdduc.utopia;56991500199;WSDRDBYE73;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Henry Thompson;56625137454
Florencia Torres;Florencia.Torres@bbdduc.utopia;56932303710;YZQNUIBX47;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Samuel Foster;56971104535
Angeles Castro;Angeles.Castro@bbdduc.utopia;56959299328;ULRXDGYB17;DCComida;FALSE;56910970145;1;3600;11808;136028;Sadie Price;56181483599
Alejandro Vicencio;Alejandro.Vicencio@bbdduc.utopia;56938142982;ADKLCEIF71;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Alice Jenkins;56848523072
Renasco Quezada;Renasco.Quezada@bbdduc.utopia;56945242595;SXEOAWVW31;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Elena Murphy;56610316156
Andres Ramirez;Andres.Ramirez@bbdduc.utopia;56916929795;XBMEENCU58;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Clara Foster;56876456365
Andres Montt;Andres.Montt@bbdduc.utopia;56948744007;QAJNFGOW94;DCComida;FALSE;56910970145;1;3600;11808;136028;Elizabeth Young;56352048565
Alonso Valladares;Alonso.Valladares@bbdduc.utopia;56973662532;RIHZWLYZ84;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Riley Price;56719603806
Rovira Gonzalez;Rovira.Gonzalez@bbdduc.utopia;56925740912;BOEMYKTJ59;DCComida;FALSE;56910970145;1;3600;11808;136028;Gabriel Parker;56891432081
Ignacio Gonzalez;Ignacio.Gonzalez@bbdduc.utopia;56939915678;JCKVSHCJ13;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Nova Russell;56571025589
Antonio Moreno;Antonio.Moreno@bbdduc.utopia;56952471970;TSNKEMFC69;DidiEats;FALSE;56987646285;40;2700;10152;116951;James Anderson;56127141355
Enoc Asenjo;Enoc.Asenjo@bbdduc.utopia;56941158099;VVBMOMFX32;Speed;TRUE;56953588069;5;5400;20952;233824;Connor Barnes;56442796447
Jose Martin;Jose.Martin@bbdduc.utopia;56940106497;VYGHSQAH32;Speed;TRUE;56953588069;5;5400;20952;233824;Nathan Gray;56284391593
Sebastian Salazar;Sebastian.Salazar@bbdduc.utopia;56927343422;QLDRKWWJ56;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Adrian Foster;56394761167
Carina Duran;Carina.Duran@bbdduc.utopia;56940377887;VKDGDSCI84;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Layla Kelly;56853235735
Nicolas Tromilen;Nicolas.Tromilen@bbdduc.utopia;56951649872;QFTYSBDZ60;DCComida;FALSE;56910970145;1;3600;11808;136028;Nova Russell;56571025589
Catalina Schiappacasse;Catalina.Schiappacasse@bbdduc.utopia;56992742231;UQVLXVLU55;DidiEats;FALSE;56987646285;40;2700;10152;116951;Ian Bryant;56815679643
Giuseppe Horta;Giuseppe.Horta@bbdduc.utopia;56946663788;OBUKBXNV87;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Adrian Foster;56394761167
Catalina Montenegro;Catalina.Montenegro@bbdduc.utopia;56977003934;TMTUBNCO80;FoodNow;TRUE;56992140878;10;2400;8832;95385;Sebastian Wright;56962138308
Eduardo Bustos;Eduardo.Bustos@bbdduc.utopia;56982296886;IHGPJQJT37;Speed;TRUE;56953588069;5;5400;20952;233824;Clara Foster;56876456365
Silva Intyre;Silva.Intyre@bbdduc.utopia;56953891586;BGOWKXFT67;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Dominic Stevens;56024214343
Antonio Smith;Antonio.Smith@bbdduc.utopia;56910621964;SFMLYEPN70;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Madelyn Henderson;56410090443
Jose Oyaneder;Jose.Oyaneder@bbdduc.utopia;56980474851;TACUHRPE11;DCComida;FALSE;56910970145;1;3600;11808;136028;Avery Baker;56688800416
Belen Torres;Belen.Torres@bbdduc.utopia;56957962597;JJROZCZD53;EsquinaShop;FALSE;56994692936;15;600;1992;19601;James Anderson;56127141355
Ignacio Alvarado;Ignacio.Alvarado@bbdduc.utopia;56964674648;TGTCVQWP46;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Madelyn Henderson;56410090443
Antonio Meneghini;Antonio.Meneghini@bbdduc.utopia;56946929895;LLJOQOVV50;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Maria Foster;56018119267
Paz Arancibia;Paz.Arancibia@bbdduc.utopia;56921118683;BKWCYKGL53;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Stella Torres;56986754939
Eduardo Wood;Eduardo.Wood@bbdduc.utopia;56935753575;TFCGTJVR58;Speed;TRUE;56953588069;5;5400;20952;233824;Skylar Dunn;56239411587
Ignacio Munoz;Ignacio.Munoz@bbdduc.utopia;56940880991;LJQFCSTI65;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Eleanor Watson;56416187242
Andrea Moya;Andrea.Moya@bbdduc.utopia;56924197128;ORWQDFOJ71;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Ryan Mitchell;56477780729
Ignacio Perry;Ignacio.Perry@bbdduc.utopia;56986797679;UWQDSMVC92;FoodBasics;FALSE;56937287561;10;5400;17496;193155;Christian Bryant;56188951213
Ignacio Lopez;Ignacio.Lopez@bbdduc.utopia;56929374838;HIQQWOOX17;DCComida;FALSE;56910970145;1;3600;11808;136028;Luna Coleman;56594608777
Andrea Renftel;Andrea.Renftel@bbdduc.utopia;56982568099;WKYSPBCM79;Speed;TRUE;56953588069;5;5400;20952;233824;Nora Simmons;56648572744
Kay Zalaquett;Kay.Zalaquett@bbdduc.utopia;56996240470;UOALFPLA39;DCComida;FALSE;56910970145;1;3600;11808;136028;Ryan Mitchell;56477780729
